time,cmd_lin_x,cmd_lin_y,cmd_lin_z,cmd_ang_x,cmd_ang_y,cmd_ang_z,odom_pos_x,odom_pos_y,odom_pos_z,odom_ori_x,odom_ori_y,odom_ori_z,odom_ori_w,path_topic_count
1743846731.0877607,0.4,0.0,0.0,0.0,0.0,0.1362584084499363,0.5999784055445371,0.6000137836666519,-0.0010013929501045786,-7.462638420724426e-06,0.0038531007167384133,0.0001040314114418566,0.999992571340728,100
1743846731.0971732,0.4,0.0,0.0,0.0,0.0,0.1362575861144631,0.5999784055445371,0.6000137836666519,-0.0010013929501045786,-7.462638420724426e-06,0.0038531007167384133,0.0001040314114418566,0.999992571340728,100
1743846731.1217043,0.4,0.0,0.0,0.0,0.0,0.1362575861144631,0.5999784023245773,0.6000138026092261,-0.0010013929501332189,-7.46321374716647e-06,0.00385310071587507,0.00010418076544865023,0.9999925713251784,100
1743846731.1330998,0.4,0.0,0.0,0.0,0.0,0.1362567879634724,0.5999784023245773,0.6000138026092261,-0.0010013929501332189,-7.46321374716647e-06,0.00385310071587507,0.00010418076544865023,0.9999925713251784,100
1743846731.1664767,0.4,0.0,0.0,0.0,0.0,0.13625407593652653,0.5999784023245773,0.6000138026092261,-0.0010013929501332189,-7.46321374716647e-06,0.00385310071587507,0.00010418076544865023,0.9999925713251784,100
1743846731.1849349,0.4,0.0,0.0,0.0,0.0,0.13625407593652653,0.6004133942758609,0.6000140229461279,-0.0010010964106486053,-7.608488589104696e-06,0.0038480447749470762,0.00010585926246423556,0.9999925906162193,100
1743846731.1877754,0.4,0.0,0.0,0.0,0.0,0.13625407593652653,0.6017562786967159,0.6000141547489144,-0.0010011938870066357,-7.76911329305773e-06,0.0038487923107212415,0.00010686755896565849,0.9999925876308857,100
1743846731.1947505,0.4,0.0,0.0,0.0,0.0,0.13626762276823792,0.6017562786967159,0.6000141547489144,-0.0010011938870066357,-7.76911329305773e-06,0.0038487923107212415,0.00010686755896565849,0.9999925876308857,100
1743846731.3181949,0.4,0.0,0.0,0.0,0.0,0.13626762276823792,0.6039253833889724,0.6000142521133324,-0.0010013208563224678,-7.974532660032235e-06,0.0038497664127456043,0.0001076153723978386,0.9999925837994529,100
1743846731.3367853,0.4,0.0,0.0,0.0,0.0,0.13629221897826937,0.6039253833889724,0.6000142521133324,-0.0010013208563224678,-7.974532660032235e-06,0.0038497664127456043,0.0001076153723978386,0.9999925837994529,100
1743846731.418228,0.4,0.0,0.0,0.0,0.0,0.13629221897826937,0.6108476004323964,0.6000136714317166,-0.0010017070670014713,-8.546557867582776e-06,0.0038530343063692177,0.0001032395543062379,0.9999925716700023,100
1743846731.4375198,0.4,0.0,0.0,0.0,0.0,0.13633469116455535,0.6108476004323964,0.6000136714317166,-0.0010017070670014713,-8.546557867582776e-06,0.0038530343063692177,0.0001032395543062379,0.9999925716700023,100
1743846731.4523578,0.4,0.0,0.0,0.0,0.0,0.13640685219132048,0.6108476004323964,0.6000136714317166,-0.0010017070670014713,-8.546557867582776e-06,0.0038530343063692177,0.0001032395543062379,0.9999925716700023,100
1743846731.4619656,0.4,0.0,0.0,0.0,0.0,0.13652660497513608,0.6108476004323964,0.6000136714317166,-0.0010017070670014713,-8.546557867582776e-06,0.0038530343063692177,0.0001032395543062379,0.9999925716700023,100
1743846731.5284362,0.4,0.0,0.0,0.0,0.0,0.13671585948102477,0.6108476004323964,0.6000136714317166,-0.0010017070670014713,-8.546557867582776e-06,0.0038530343063692177,0.0001032395543062379,0.9999925716700023,100
1743846731.5390196,0.4,0.0,0.0,0.0,0.0,0.1369790290566728,0.6108476004323964,0.6000136714317166,-0.0010017070670014713,-8.546557867582776e-06,0.0038530343063692177,0.0001032395543062379,0.9999925716700023,100
1743846731.5495994,0.4,0.0,0.0,0.0,0.0,0.13739006428839143,0.6108476004323964,0.6000136714317166,-0.0010017070670014713,-8.546557867582776e-06,0.0038530343063692177,0.0001032395543062379,0.9999925716700023,100
1743846731.5860782,0.4,0.0,0.0,0.0,0.0,0.13739006428839143,0.6370567724306989,0.6000061958289767,-0.0010005501367921499,-6.034505576611277e-06,0.003845332382904876,-0.00030986351861206444,0.999992558655838,100
1743846731.5978296,0.4,0.0,0.0,0.0,0.0,0.13892473312126777,0.6370567724306989,0.6000061958289767,-0.0010005501367921499,-6.034505576611277e-06,0.003845332382904876,-0.00030986351861206444,0.999992558655838,100
1743846731.609449,0.4,0.0,0.0,0.0,0.0,0.14139270606668372,0.6370567724306989,0.6000061958289767,-0.0010005501367921499,-6.034505576611277e-06,0.003845332382904876,-0.00030986351861206444,0.999992558655838,100
1743846731.6702454,0.4,0.0,0.0,0.0,0.0,0.14353904865773023,0.6370567724306989,0.6000061958289767,-0.0010005501367921499,-6.034505576611277e-06,0.003845332382904876,-0.00030986351861206444,0.999992558655838,100
1743846731.694144,0.4,0.0,0.0,0.0,0.0,0.14353904865773023,0.6662776743222243,0.5999483999558234,-0.0010016865212167589,-3.27435566927863e-06,0.0038527052652439385,-0.0015248281221560353,0.9999914157384631,100
1743846731.7381847,0.4,0.0,0.0,0.0,0.0,0.14452959100041746,0.6662776743222243,0.5999483999558234,-0.0010016865212167589,-3.27435566927863e-06,0.0038527052652439385,-0.0015248281221560353,0.9999914157384631,100
1743846731.7534192,0.4,0.0,0.0,0.0,0.0,0.16019962009714678,0.6662776743222243,0.5999483999558234,-0.0010016865212167589,-3.27435566927863e-06,0.0038527052652439385,-0.0015248281221560353,0.9999914157384631,100
1743846731.7784994,0.4,0.0,0.0,0.0,0.0,0.16168820252841193,0.6662776743222243,0.5999483999558234,-0.0010016865212167589,-3.27435566927863e-06,0.0038527052652439385,-0.0015248281221560353,0.9999914157384631,100
1743846731.7879004,0.4,0.0,0.0,0.0,0.0,0.1636342294612332,0.6662776743222243,0.5999483999558234,-0.0010016865212167589,-3.27435566927863e-06,0.0038527052652439385,-0.0015248281221560353,0.9999914157384631,100
1743846731.8018072,0.4,0.0,0.0,0.0,0.0,0.1636342294612332,0.6949424677804453,0.5998159120935644,-0.0010005003065719428,3.1047243351416823e-06,0.003845717195561813,-0.002564691935565393,0.9999893163453738,100
1743846731.8708189,0.4,0.0,0.0,0.0,0.0,0.16619886523926153,0.6949424677804453,0.5998159120935644,-0.0010005003065719428,3.1047243351416823e-06,0.003845717195561813,-0.002564691935565393,0.9999893163453738,100
1743846731.8858068,0.4,0.0,0.0,0.0,0.0,0.16619886523926153,0.7151477214278792,0.5997037180800042,-0.001000715188911993,5.422277384406366e-06,0.003845593799178736,-0.0034227879129694948,0.9999867478631074,100
