time,cmd_lin_x,cmd_lin_y,cmd_lin_z,cmd_ang_x,cmd_ang_y,cmd_ang_z,odom_pos_x,odom_pos_y,odom_pos_z,odom_ori_x,odom_ori_y,odom_ori_z,odom_ori_w
1743855939.622941,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
1743855939.6231685,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
1743855939.6558228,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
1743855939.6904054,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
1743855939.6937716,0.0,0.0,0.0,0.0,0.0,0.0,0.5998829431698797,0.5006684312305647,-0.0010024306882689335,-2.6904444994859255e-05,0.0038608231758920225,0.005063696816573427,0.999979725942034
1743855939.7209468,0.0,0.0,0.0,0.0,0.0,0.0,0.5998828213242388,0.500669152435048,-0.001002430732512983,-2.6925833568799137e-05,0.0038608233749397895,0.0050692607386227054,0.9999796977506248
1743855939.7210796,0.0,0.0,0.0,0.0,0.0,0.0,0.5998828213242388,0.500669152435048,-0.001002430732512983,-2.6925833568799137e-05,0.0038608233749397895,0.0050692607386227054,0.9999796977506248
1743855939.7550282,0.0,0.0,0.0,0.0,0.0,0.0,0.5998826957723212,0.5006698955211605,-0.0010024307781011411,-2.6947871214703215e-05,0.0038608235799058198,0.005074993490597612,0.9999796686714024
1743855939.755229,0.0,0.0,0.0,0.0,0.0,0.0,0.5998826957723212,0.5006698955211605,-0.0010024307781011411,-2.6947871214703215e-05,0.0038608235799058198,0.005074993490597612,0.9999796686714024
1743855939.7893825,0.0,0.0,0.0,0.0,0.0,0.0,0.5998825738995323,0.5006706167779565,-0.0010024308223517374,-2.6969261594962027e-05,0.00386082377873411,0.005080557851810076,0.9999796404149051
1743855939.789553,0.0,0.0,0.0,0.0,0.0,0.0,0.5998825738995323,0.5006706167779565,-0.0010024308223517374,-2.6969261594962027e-05,0.00386082377873411,0.005080557851810076,0.9999796404149051
1743855939.822019,0.0,0.0,0.0,0.0,0.0,0.0,0.59988245201337,0.5006713380605207,-0.0010024308666054908,-2.699065285780008e-05,0.0038608239774548096,0.005086122429344347,0.999979612126344
1743855939.8222418,0.0,0.0,0.0,0.0,0.0,0.0,0.59988245201337,0.5006713380605207,-0.0010024308666054908,-2.699065285780008e-05,0.0038608239774548096,0.005086122429344347,0.999979612126344
1743855939.869771,0.0,0.0,0.0,0.0,0.0,0.0,0.5998823264196989,0.5006720812270845,-0.0010024309122034676,-2.701269325972364e-05,0.0038608241820849163,0.005091855856707178,0.9999795829470141
1743855939.8700092,0.0,0.0,0.0,0.0,0.0,0.0,0.5998823264196989,0.5006720812270845,-0.0010024309122034676,-2.701269325972364e-05,0.0038608241820849163,0.005091855856707178,0.9999795829470141
1743855939.9039507,0.0,0.0,0.0,0.0,0.0,0.0,0.5998822045062956,0.5006728025624881,-0.001002430956560163,-2.7034088070768196e-05,0.0038608243811244967,0.005097420877422042,0.99997955459332
1743855939.9041147,0.0,0.0,0.0,0.0,0.0,0.0,0.5998822045062956,0.5006728025624881,-0.001002430956560163,-2.7034088070768196e-05,0.0038608243811244967,0.005097420877422042,0.99997955459332
1743855939.9235172,0.0,0.0,0.0,0.0,0.0,0.0,0.5998820825794506,0.5006735239240669,-0.001002431000973334,-2.705548375672238e-05,0.003860824580463385,0.005102986117537028,0.9999795262075338
1743855939.9236627,0.0,0.0,0.0,0.0,0.0,0.0,0.5998820825794506,0.5006735239240669,-0.001002431000973334,-2.705548375672238e-05,0.003860824580463385,0.005102986117537028,0.9999795262075338
1743855939.9562159,0.0,0.0,0.0,0.0,0.0,0.0,0.5998820825794506,0.5006735239240669,-0.001002431000973334,-2.705548375672238e-05,0.003860824580463385,0.005102986117537028,0.9999795262075338
1743855939.9658568,0.0,0.0,0.0,0.0,0.0,0.0,0.5998819569438338,0.50067426717221,-0.0010024310467471494,-2.7077528691414522e-05,0.003860824785822116,0.005108720228845109,0.9999794969280141
1743855939.9936948,0.0,0.0,0.0,0.0,0.0,0.0,0.599881834989783,0.5006749885863863,-0.001002431091180464,-2.7098926125070737e-05,0.003860824985054354,0.005114285910290066,0.9999794684770836
1743855939.9937952,0.0,0.0,0.0,0.0,0.0,0.0,0.599881834989783,0.5006749885863863,-0.001002431091180464,-2.7098926125070737e-05,0.003860824985054354,0.005114285910290066,0.9999794684770836
1743855940.0275097,0.0,0.0,0.0,0.0,0.0,0.0,0.5998817130223367,0.5006757100264317,-0.0010024311356173592,-2.7120324424916576e-05,0.003860825184185155,0.005119851808827982,0.9999794399940636
1743855940.0276508,0.0,0.0,0.0,0.0,0.0,0.0,0.5998817130223367,0.5006757100264317,-0.0010024311356173592,-2.7120324424916576e-05,0.003860825184185155,0.005119851808827982,0.9999794399940636
1743855940.056104,0.0,0.0,0.0,0.0,0.0,0.0,0.599881587344896,0.500676453355351,-0.0010024311814039386,-2.7142372062560647e-05,0.0038608253892395933,0.0051255865980037365,0.9999794106143547
1743855940.0561829,0.0,0.0,0.0,0.0,0.0,0.0,0.599881587344896,0.500676453355351,-0.0010024311814039386,-2.7142372062560647e-05,0.0038608253892395933,0.0051255865980037365,0.9999794106143547
1743855940.088728,0.0,0.0,0.0,0.0,0.0,0.0,0.5998814653502508,0.5006771748479139,-0.0010024312258466693,-2.716377211597254e-05,0.003860825588154507,0.005131152937282112,0.9999793820661713
